name,kind,area,status,return_or_variable_type,parameters
bit_lib_push_bit,Function,Other libraries and assets,not_bridged,void,"uint8_t*, size_t, _Bool"
bit_lib_remove_bit_every_nth,Function,Other libraries and assets,not_bridged,size_t,"uint8_t*, size_t, uint8_t, uint8_t"
bit_lib_reverse_16_fast,Function,Other libraries and assets,not_bridged,uint16_t,uint16_t
bit_lib_reverse_8_fast,Function,Other libraries and assets,not_bridged,uint8_t,uint8_t
bit_lib_reverse_bits,Function,Other libraries and assets,not_bridged,void,"uint8_t*, size_t, uint8_t"
bit_lib_set_bit,Function,Other libraries and assets,not_bridged,void,"uint8_t*, size_t, _Bool"
bit_lib_set_bits,Function,Other libraries and assets,not_bridged,void,"uint8_t*, size_t, uint8_t, uint8_t"
bit_lib_test_parity,Function,Other libraries and assets,not_bridged,_Bool,"const uint8_t*, size_t, uint8_t, BitLibParity, uint8_t"
bit_lib_test_parity_32,Function,Other libraries and assets,not_bridged,_Bool,"uint32_t, BitLibParity"
ble_event_dispatcher_register_svc_handler,Function,Other libraries and assets,not_bridged,GapSvcEventHandler*,"BleSvcEventHandlerCb, void*"
ble_event_dispatcher_unregister_svc_handler,Function,Other libraries and assets,not_bridged,void,GapSvcEventHandler*
ble_gatt_characteristic_delete,Function,Other libraries and assets,not_bridged,void,"uint16_t, BleGattCharacteristicInstance*"
ble_gatt_characteristic_init,Function,Other libraries and assets,not_bridged,void,"uint16_t, const BleGattCharacteristicParams*, BleGattCharacteristicInstance*"
ble_gatt_characteristic_update,Function,Other libraries and assets,not_bridged,_Bool,"uint16_t, BleGattCharacteristicInstance*, const void*"
ble_gatt_service_add,Function,Other libraries and assets,not_bridged,_Bool,"uint8_t, const Service_UUID_t*, uint8_t, uint8_t, uint16_t*"
ble_gatt_service_delete,Function,Other libraries and assets,not_bridged,_Bool,uint16_t
ble_glue_force_c2_mode,Function,Other libraries and assets,not_bridged,BleGlueCommandResult,BleGlueC2Mode
ble_glue_get_c2_info,Function,Other libraries and assets,not_bridged,const BleGlueC2Info*,
ble_glue_init,Function,Other libraries and assets,not_bridged,void,
ble_glue_is_alive,Function,Other libraries and assets,not_bridged,_Bool,
ble_glue_is_radio_stack_ready,Function,Other libraries and assets,not_bridged,_Bool,
ble_glue_reinit_c2,Function,Other libraries and assets,not_bridged,_Bool,
ble_glue_set_key_storage_changed_callback,Function,Other libraries and assets,not_bridged,void,"BleGlueKeyStorageChangedCallback, void*"
ble_glue_wait_for_c2_start,Function,Other libraries and assets,not_bridged,_Bool,int32_t
ble_profile_serial,Variable,Other libraries and assets,not_bridged,const FuriHalBleProfileTemplate* const,
ble_profile_serial_notify_buffer_is_empty,Function,Other libraries and assets,native_export_needs_arm_bridge,void,FuriHalBleProfileBase*
ble_profile_serial_set_event_callback,Function,Other libraries and assets,native_export_needs_arm_bridge,void,"FuriHalBleProfileBase*, uint16_t, FuriHalBtSerialCallback, void*"
ble_profile_serial_set_rpc_active,Function,Other libraries and assets,native_export_needs_arm_bridge,void,"FuriHalBleProfileBase*, _Bool"
ble_profile_serial_tx,Function,Other libraries and assets,native_export_needs_arm_bridge,_Bool,"FuriHalBleProfileBase*, uint8_t*, uint16_t"
ble_svc_battery_start,Function,Other libraries and assets,not_bridged,BleServiceBattery*,_Bool
ble_svc_battery_state_update,Function,Other libraries and assets,not_bridged,void,"uint8_t*, _Bool*"
ble_svc_battery_stop,Function,Other libraries and assets,not_bridged,void,BleServiceBattery*
ble_svc_battery_update_level,Function,Other libraries and assets,not_bridged,_Bool,"BleServiceBattery*, uint8_t"
ble_svc_battery_update_power_state,Function,Other libraries and assets,not_bridged,_Bool,"BleServiceBattery*, _Bool"
ble_svc_dev_info_start,Function,Other libraries and assets,not_bridged,BleServiceDevInfo*,
ble_svc_dev_info_stop,Function,Other libraries and assets,not_bridged,void,BleServiceDevInfo*
ble_svc_serial_notify_buffer_is_empty,Function,Other libraries and assets,not_bridged,void,BleServiceSerial*
ble_svc_serial_set_callbacks,Function,Other libraries and assets,not_bridged,void,"BleServiceSerial*, uint16_t, SerialServiceEventCallback, void*"
ble_svc_serial_set_rpc_active,Function,Other libraries and assets,not_bridged,void,"BleServiceSerial*, _Bool"
ble_svc_serial_start,Function,Other libraries and assets,not_bridged,BleServiceSerial*,
ble_svc_serial_stop,Function,Other libraries and assets,not_bridged,void,BleServiceSerial*
ble_svc_serial_update_tx,Function,Other libraries and assets,not_bridged,_Bool,"BleServiceSerial*, uint8_t*, uint16_t"
bt_disconnect,Function,Other libraries and assets,native_export_needs_arm_bridge,void,Bt*
bt_forget_bonded_devices,Function,Other libraries and assets,not_bridged,void,Bt*
